balance,depositAmount,withdrawable,penalty,unlockTime,timeRemaining
4.987987440624071,5.488233216397064,1.372058304099266,4.116174912297798,2026-12-03 00:00:00,3y7m2w
51.70353060338265,54.30356074937356,13.57589018734339,40.72767056203018,2027-02-04 00:00:00,3y9m2w
0.0,1.0,1.0,0.0,2023-01-19 00:00:00,
0.9140584289384964,1.0004372738931238,0.25010931847328094,0.7503279554198428,2026-12-10 00:00:00,3y7m3w
3.3544929029219928,3.671493668974784,0.917873417243696,2.7536202517310877,2026-12-10 00:00:00,3y7m3w
1.8697994950812573,2.046496208866607,0.5116240522166517,1.534872156649955,2026-12-10 00:00:00,3y7m3w
7.457141867150549,118.9386685058346,111.48152663868362,7.457141867150976,2023-07-20 00:00:00,3m0w0d
7.457141867150549,118.9386685058346,111.48152663868362,7.457141867150976,2023-07-20 00:00:00,3m0w0d
10.452619502293652,127.58277471249788,117.13015521020411,10.452619502293789,2023-08-17 00:00:00,3m4w0d
5.677144944696788,65.45328217486893,59.776137230166825,5.6771449447021025,2023-08-24 00:00:00,4m0w4d
6.076388890948719,66.37704718,60.30065828905029,6.076388890949712,2023-08-31 00:00:00,4m1w4d
2.3388623623995977,14.291078714273635,11.9522163518688,2.3388623624048344,2023-12-14 00:00:00,7m3w4d
3.3270376630803393,13.5581809149332,10.231143251824063,3.3270376631091363,2024-04-11 00:00:00,11m3w1d
2.966882533104314,11.211841535599525,8.24495900248567,2.9668825331138553,2024-05-09 00:00:00,1y0m2w
2.1648037450290634,8.332168822932521,6.167365077879942,2.164803745052579,2024-05-02 00:00:00,1y0m1w
3.019439348009152,9.36804173008625,6.34860238206609,3.01943934802016,2024-08-01 00:00:00,1y3m1w
2.958661471732493,9.318470192795536,6.359808721042335,2.9586614717532003,2024-07-25 00:00:00,1y3m0w
3.885312330160457,15.833234491997068,11.947922161808822,3.885312330188245,2024-04-11 00:00:00,11m3w1d
5.44760015110098,20.967408358701167,15.519808207581347,5.4476001511198175,2024-05-02 00:00:00,1y0m1w
7.361856392093602,23.18658644089295,15.824730048764437,7.361856392128511,2024-07-25 00:00:00,1y3m0w
12.269479182554779,50.0,37.73052081743488,12.26947918256512,2024-04-11 00:00:00,11m3w1d
6.550609805721556,27.78340392,21.23279411427062,6.550609805729378,2024-03-28 00:00:00,11m1w1d
18.23975601963216,77.36111964,59.121363620357194,18.239756019642808,2024-03-28 00:00:00,11m1w1d
63.95430591149725,271.2523515,207.29804558847826,63.95430591152173,2024-03-28 00:00:00,11m1w1d
0.0,0.0,0.0,0.0,0,
66.00836832861467,279.9643413,213.9559729713742,66.00836832862582,2024-03-28 00:00:00,11m1w1d
17.67825534858403,74.97960091,57.30134556141198,17.67825534858802,2024-03-28 00:00:00,11m1w1d
2.5384321335783953,10.76636945,8.227937316401476,2.538432133598525,2024-03-28 00:00:00,11m1w1d
1.905456110445518,8.081699008,6.176242897539429,1.9054561104605714,2024-03-28 00:00:00,11m1w1d
2.1269927709071332,9.021312678,6.89431990709198,2.1269927709080205,2024-03-28 00:00:00,11m1w1d
1.9974270571240464,8.471779632,6.474352574856398,1.9974270571436024,2024-03-28 00:00:00,11m1w1d
1.8059174311024717,7.65952101,5.853603578868466,1.805917431131534,2024-03-28 00:00:00,11m1w1d
0.5878748458938482,2.493380736,1.9055058900780129,0.5878748459219872,2024-03-28 00:00:00,11m1w1d
3.729482774415854,5.068787108,1.3393043335277137,3.7294827744722863,2026-03-26 00:00:00,2y11m0w
1.8476959083287399,2.01171833141961,0.5029295828549025,1.5087887485647076,2026-12-17 00:00:00,3y7m4w
0.9184665067020322,1.0,0.25,0.75,2026-12-17 00:00:00,3y7m4w
48.850412199845074,119.4821526902031,70.63174049035578,48.85041219984733,2024-12-05 00:00:00,1y7m2w
0.9192260594987813,1.00082697928135,0.2502067448203375,0.7506202344610124,2026-12-17 00:00:00,3y7m4w
2.2246452798263303,2.42213,0.6055325,1.8165975,2026-12-17 00:00:00,3y7m4w
0.9184665067020322,1.0,0.25,0.75,2026-12-17 00:00:00,3y7m4w
0.361490011432282,1.015516922530143,0.6540269110936902,0.361490011436453,2024-09-19 00:00:00,1y5m0w
0.9312283075123503,1.0086151097690248,0.2521537774422562,0.7564613323267686,2026-12-24 00:00:00,3y8m0w
0.1926077616940487,1.14330002704433,0.9506922653458861,0.192607761698444,2023-12-21 00:00:00,8m0w1d
1.0255776865998694,1.1108050974626558,0.27770127436566394,0.8331038230969917,2026-12-24 00:00:00,3y8m0w
0.045358252181120065,1.0435219114366916,0.9981636592521779,0.04535825218451366,2023-06-22 00:00:00,2m0w2d
0.5447579883389099,3.2336278523368445,2.688869863994562,0.5447579883422823,2023-12-21 00:00:00,8m0w1d
0.9620137821773391,3.7725295657721287,2.810515783567269,0.9620137822048603,2024-04-25 00:00:00,1y0m0w
2.7986687508740937,3.0,0.75,2.25,2027-01-07 00:00:00,3y8m2w
0.0,1.0,1.0,0.0,2023-04-06 00:00:00,
0.0,4.649681580215022,4.649681580215022,0.0,2023-03-30 00:00:00,
0.00500679664838231,1.00038438,0.9953775833509972,0.005006796649002689,2023-04-27 00:00:00,1w0d6h
1.692725273652384,1.8144971028254953,0.4536242757063738,1.3608728271191215,2027-01-07 00:00:00,3y8m2w
0.4088510267104607,1.0,0.5911489732778795,0.4088510267221204,2024-12-05 00:00:00,1y7m2w
0.22625475419943478,1.27051029,1.0442555357801733,0.22625475421982671,2024-01-04 00:00:00,8m2w1d
0.0,0.0,0.0,0.0,0,
0.9376971805415327,1.0,0.25,0.75,2027-01-14 00:00:00,3y8m3w
